district,year,state,effective_number_of_political_parties
chickmagalur,2013,karnataka,3.3129429743532626
tumkur,2013,karnataka,3.063955005572204
chikballapur,2013,karnataka,2.9934111218256287
kolar,2013,karnataka,2.921241905926238
bangalore rural,2013,karnataka,2.971310950303285
ramanagara,2011,karnataka,2.3909039175210602
mandya,2013,karnataka,2.8996300156289188
hassan,2013,karnataka,2.9093059008929645
dakshina kannada,2013,karnataka,2.4406522006938616
kodagu,2013,karnataka,2.8620906548056473
mysore,2013,karnataka,3.1819346042271803
chamarajanagar,2013,karnataka,3.619039747031209
north goa,2012,goa,2.2711843694297627
south goa,2012,goa,2.6105487565780425
kasaragod,2011,kerala,2.651987677786175
kannur,2011,kerala,2.2687183998251013
wayanad,2011,kerala,2.3166092419634117
kozhikode,2011,kerala,2.402586955215368
malappuram,2011,kerala,2.283430338850283
palakkad,2011,kerala,2.3837335023457795
thrissur,2011,kerala,2.356377283499562
ernakulam,2011,kerala,2.2813440320267895
idukki,2011,kerala,2.2825536024547786
kottayam,2011,kerala,2.2805846941861554
alappuzha,2011,kerala,2.194908776104663
pathanamthitta,2011,kerala,2.3202925928859393
kollam,2011,kerala,2.2466489536995335
thiruvananthapuram,2011,kerala,2.468396982590694
tiruvallur,2011,tamil nadu,2.267817529237182
chennai,2011,tamil nadu,2.229681465640974
kanchipuram,2011,tamil nadu,2.2446371990665757
vellore,2011,tamil nadu,2.3296671974210126
sivaganga,2011,tamil nadu,1.9943349385243212
krishnagiri,2011,tamil nadu,2.566261571656931
dharmapuri,2011,tamil nadu,2.4325018226743986
tiruvannamalai,2011,tamil nadu,2.2396496361000398
villupuram,2011,tamil nadu,2.240491381952899
salem,2011,tamil nadu,2.0707890187708986
namakkal,2011,tamil nadu,2.3008303116717346
erode,2011,tamil nadu,2.0656074667190887
tirupur,2011,tamil nadu,2.2511585875393254
nilgiris,2011,tamil nadu,1.797641457297911
coimbatore,2011,tamil nadu,2.021905129748899
dindigul,2011,tamil nadu,2.285479362356955
karur,2011,tamil nadu,2.126418859057667
tiruchirappalli,2011,tamil nadu,2.2427799017299863
perambalur,2011,tamil nadu,2.569476283100516
ariyalur,2011,tamil nadu,2.4269668103260456
cuddalore,2011,tamil nadu,2.3134683858014746
nagapattinam,2011,tamil nadu,2.426641438689052
tiruvarur,2011,tamil nadu,2.144836149909405
thanjavur,2011,tamil nadu,2.538314537768966
pudukkottai,2011,tamil nadu,2.410857631048053
madurai,2011,tamil nadu,2.160281130094687
theni,2011,tamil nadu,2.270315027008191
virudhunagar,2011,tamil nadu,2.2204009147292973
ramanathapuram,2011,tamil nadu,2.8224834871261013
thoothukudi,2011,tamil nadu,2.248589254824104
tirunelveli,2011,tamil nadu,2.443527228618757
kanniyakumari,2011,tamil nadu,3.0559306485923785
puducherry,2011,pondicherry,2.1493823181573677
karaikal,2011,pondicherry,2.5728687053471537
mahe,2011,pondicherry,2.0928052390449237
yanam,2011,pondicherry,1.4654343458009458
