statename,women_rep
ANDHRA PRADESH,12
ARUNACHAL PRADESH,3
ASSAM,11
BIHAR,14
GOA,3
GUJARAT,9
HARYANA,10
HIMACHAL PRADESH,7
JAMMU & KASHMIR,3
JHARKHAND,10
KARNATAKA,1
KERALA,5
MADHYA PRADESH,11
CHHATTISGARH,12
MAHARASHTRA,4
MANIPUR,5
MEGHALAYA,3
MIZORAM,0
NAGALAND,0
ORISSA,5
PUNJAB,12
RAJASTHAN,14
SIKKIM,13
TAMIL NADU,7
TRIPURA,5
UTTAR PRADESH,8
UTTARAKHAND,7
WEST BENGAL,12
ANDAMAN & NICOBAR ISLANDS,0
CHANDIGARH,6
DELHI,6
PUDUCHERRY,0
TELANGANA,12
