district,state,year,vote_share
deogarh,orissa,2014,53.87
keonjhar,orissa,2014,44.593333333333334
mayurbhanj,orissa,2014,33.93444444444444
balasore,orissa,2014,43.82875
bhadrak,orissa,2014,46.712
jajpur,orissa,2014,53.895714285714284
dhenkanal,orissa,2014,43.2425
angul,orissa,2014,43.818
subarnapur,orissa,2014,48.855000000000004
balangir,orissa,2014,38.928000000000004
nuapada,orissa,2014,35.44
nabarangpur,orissa,2011,45.13
kalahandi,orissa,2014,36.983999999999995
kandhamal,orissa,2014,41.24
boudh,orissa,2014,45.614999999999995
cuttack,orissa,2012,65.88
kendrapara,orissa,2014,49.774
jagatsinghpur,orissa,2014,48.9525
puri,orissa,2014,49.326666666666675
khurda,orissa,2014,52.46125
nayagarh,orissa,2014,52.475
ganjam,orissa,2014,52.72307692307693
gajapati,orissa,2014,37.54
rayagada,orissa,2014,42.263333333333335
koraput,orissa,2014,43.2
malkangiri,orissa,2014,37.465
koria,chhattisgarh,2013,37.160000000000004
surajpur,chhattisgarh,2013,43.86666666666667
surguja,chhattisgarh,2013,49.21
jashpur,chhattisgarh,2013,49.85666666666666
raigarh,chhattisgarh,2013,51.036
korba,chhattisgarh,2013,45.13999999999999
mungeli,chhattisgarh,2013,40.665
janjgir champa,chhattisgarh,2013,38.375
mahasamund,chhattisgarh,2013,43.8625
balodabazar,chhattisgarh,2013,43.0625
raipur,chhattisgarh,2013,48.70142857142857
gariaband,chhattisgarh,2013,49.31
dhamtari,chhattisgarh,2013,46.18
balod,chhattisgarh,2011,47.37
durg,chhattisgarh,2013,47.824285714285715
bemetara,chhattisgarh,2013,45.03
kabirdham,chhattisgarh,2013,41.775
rajnandgaon,chhattisgarh,2013,45.24333333333333
uttar bastar kanker,chhattisgarh,2013,44.38333333333333
kondagaon,chhattisgarh,2013,43.336666666666666
bastar jagdalpur,chhattisgarh,2013,47.54
dakshin bastar dantewada,chhattisgarh,2013,38.23
bijapur,karnataka,2013,37.69222222222223
sukuma,chhattisgarh,2013,36.4
sheopur,madhya pradesh,2013,42.655
morena,madhya pradesh,2013,38.446666666666665
bhind,madhya pradesh,2013,36.856
gwalior,madhya pradesh,2013,43.49833333333333
datia,madhya pradesh,2013,36.4
shivpuri,madhya pradesh,2013,42.384
guna,madhya pradesh,2013,59.03
ashok nagar,madhya pradesh,2013,50.910000000000004
sagar,madhya pradesh,2013,50.43499999999999
tikamgarh,madhya pradesh,2013,42.324
chhatarpur,madhya pradesh,2013,40.11333333333334
damoh,madhya pradesh,2011,43.6
panna,madhya pradesh,2013,38.556666666666665
satna,madhya pradesh,2013,37.49571428571428
rewa,madhya pradesh,2013,34.167500000000004
sidhi,madhya pradesh,2013,45.8725
singrauli,madhya pradesh,2013,40.76
shahdol,madhya pradesh,2013,42.50333333333333
anuppur,madhya pradesh,2013,45.27
umaria,madhya pradesh,2013,45.14
katni,madhya pradesh,2013,44.432500000000005
jabalpur,madhya pradesh,2013,52.16125
dindori,madhya pradesh,2013,43.325
mandla,madhya pradesh,2013,41.50333333333334
balaghat,madhya pradesh,2013,44.205000000000005
seoni,madhya pradesh,2013,41.205
narsinghpur,madhya pradesh,2013,54.2625
chhindwara,madhya pradesh,2013,45.01857142857143
betul,madhya pradesh,2013,52.146
harda,madhya pradesh,2013,49.974999999999994
hoshangabad,madhya pradesh,2013,56.622499999999995
raisen,madhya pradesh,2013,53.572500000000005
vidisha,madhya pradesh,2013,48.634
bhopal,madhya pradesh,2013,56.55714285714287
sehore,madhya pradesh,2013,51.574999999999996
rajgarh,madhya pradesh,2013,54.226
shajapur,madhya pradesh,2013,48.592000000000006
dewas,madhya pradesh,2011,54.82
khandwa,madhya pradesh,2013,53.657500000000006
burhanpur,madhya pradesh,2013,52.34
khargone,madhya pradesh,2012,57.37
barwani,madhya pradesh,2013,49.8125
alirajpur,madhya pradesh,2013,45.26
jhabua,madhya pradesh,2013,43.22
dhar,madhya pradesh,2011,53.71
indore,madhya pradesh,2013,55.95
ujjain,madhya pradesh,2013,52.047142857142866
ratlam,madhya pradesh,2013,50.61
mandsaur,madhya pradesh,2013,49.925000000000004
neemuch,madhya pradesh,2013,44.97666666666667
kachchh,gujarat,2012,46.39833333333333
banaskantha,gujarat,2012,47.47777777777778
patan,gujarat,2012,48.2425
mahesana,gujarat,2012,51.478571428571435
sabarkantha,gujarat,2012,51.317499999999995
arvalli,gujarat,2012,52.46333333333333
gandhinagar,gujarat,2012,48.346
ahmedabad,gujarat,2012,59.426666666666655
surendranagar,gujarat,2012,48.788
morbi,gujarat,2012,43.116666666666674
rajkot,gujarat,2012,48.677499999999995
jamnagar,gujarat,2012,46.676
devbhumi dwarka,gujarat,2012,48.68
porbandar,gujarat,2012,52.663333333333334
junagadh,gujarat,2012,48.709999999999994
gir somnath,gujarat,2012,44.089999999999996
amreli,gujarat,2012,39.81400000000001
bhavnagar,gujarat,2012,51.964285714285715
botad,gujarat,2012,46.295
anand,gujarat,2012,50.35285714285714
kheda,gujarat,2012,47.24571428571429
mahisagar,gujarat,2012,49.175
panchmahal,gujarat,2012,48.626
dahod,gujarat,2012,56.73500000000001
vadodra,gujarat,2012,55.477
chhota udepur,gujarat,2012,43.333333333333336
narmada,gujarat,2012,43.614999999999995
bharuch,gujarat,2012,51.822
surat,gujarat,2012,58.229375
tapi,gujarat,2012,47.864999999999995
dangs,gujarat,2012,45.32
navsari,gujarat,2012,53.03
valsad,gujarat,2012,53.74399999999999
nandurbar,maharashtra,2014,41.9775
dhule,maharashtra,2014,44.71
jalgaon,maharashtra,2014,43.31272727272727
buldhana,maharashtra,2014,37.17714285714286
akola,maharashtra,2014,36.022000000000006
washim,maharashtra,2014,33.2275
amravati,maharashtra,2014,35.9675
wardha,maharashtra,2014,39.35249999999999
nagpur,maharashtra,2014,47.034166666666664
bhandara,maharashtra,2014,36.38333333333333
gondiya,maharashtra,2014,34.34
gadchiroli,maharashtra,2014,38.50666666666667
chandrapur,maharashtra,2014,39.526666666666664
yavatmal,maharashtra,2013,53.19
nanded,maharashtra,2014,40.98
hingoli,maharashtra,2014,39.11666666666667
parbhani,maharashtra,2014,33.6725
jalna,maharashtra,2014,34.104
nashik,maharashtra,2014,40.90200000000001
thane,maharashtra,2014,38.17291666666668
